Engine,Testbench,Total_Power(W),Dynamic_Power(W),Static_Power(W),Systolic_Power(W)
M1no1,tb_nznz,0.263,0.155,0.108,0.038
M1no1,tb_nzzr,0.239,0.131,0.107,0.021
M1no1,tb_swnz,0.273,0.165,0.108,0.048
M1no1,tb_swzr,0.245,0.138,0.107,0.027
M1no1,tb_zrnz,0.233,0.126,0.107,0.016
M1no1,tb_zrzr,0.245,0.138,0.107,0.027
M1no2,tb_nznz,0.264,0.156,0.108,0.039
M1no2,tb_nzzr,0.235,0.128,0.107,0.017
M1no2,tb_swnz,0.273,0.166,0.108,0.048
M1no2,tb_swzr,0.236,0.129,0.107,0.018
M1no2,tb_zrnz,0.236,0.129,0.107,0.018
M1no2,tb_zrzr,0.236,0.129,0.107,0.018
M1no3,tb_nznz,0.265,0.157,0.108,0.04
M1no3,tb_nzzr,0.235,0.128,0.107,0.018
M1no3,tb_swnz,0.274,0.166,0.108,0.048
M1no3,tb_swzr,0.237,0.129,0.107,0.019
M1no3,tb_zrnz,0.236,0.129,0.107,0.019
M1no3,tb_zrzr,0.237,0.129,0.107,0.019
M1no4,tb_nznz,0.264,0.156,0.108,0.039
M1no4,tb_nzzr,0.241,0.134,0.107,0.023
M1no4,tb_swnz,0.263,0.155,0.108,0.038
M1no4,tb_swzr,0.242,0.135,0.107,0.024
M1no4,tb_zrnz,0.233,0.126,0.107,0.016
M1no4,tb_zrzr,0.242,0.135,0.107,0.024
M1no5,tb_nznz,0.261,0.154,0.108,0.037
M1no5,tb_nzzr,0.232,0.125,0.107,0.016
M1no5,tb_swnz,0.261,0.153,0.108,0.036
M1no5,tb_swzr,0.234,0.127,0.107,0.017
M1no5,tb_zrnz,0.231,0.124,0.107,0.015
M1no5,tb_zrzr,0.234,0.127,0.107,0.017
M1no6,tb_nznz,0.261,0.154,0.108,0.038
M1no6,tb_nzzr,0.233,0.126,0.107,0.016
M1no6,tb_swnz,0.261,0.153,0.108,0.037
M1no6,tb_swzr,0.234,0.127,0.107,0.017
M1no6,tb_zrnz,0.231,0.124,0.107,0.015
M1no6,tb_zrzr,0.234,0.127,0.107,0.017
M1no7,tb_nznz,0.264,0.156,0.108,0.039
M1no7,tb_nzzr,0.241,0.134,0.107,0.024
M1no7,tb_swnz,0.264,0.156,0.108,0.038
